sample_id,Lactococcus lactis subsp. lactis,Alicyclobacillus acidocaldarius subsp. acidocaldarius,Bifidobacterium longum subsp. longum,Leuconostoc mesenteroides subsp. mesenteroides,Salmonella enterica subsp. enterica,Pseudomonas chlororaphis subsp. aurantiaca,Streptococcus dysgalactiae subsp. equisimilis,Staphylococcus hominis subsp. hominis,Bifidobacterium animalis subsp. lactis,Mycobacterium avium subsp. hominissuis,Pseudomonas chlororaphis subsp. aureofaciens,Pseudomonas chlororaphis subsp. piscium,Lactococcus cremoris subsp. cremoris,Legionella pneumophila subsp. fraseri,Cutibacterium acnes subsp. acnes,Lacticaseibacillus paracasei subsp. paracasei,Zymomonas mobilis subsp. mobilis,Enterobacter hormaechei subsp. xiangfangensis,Fusobacterium nucleatum subsp. animalis,Listeria ivanovii subsp. londoniensis,Bifidobacterium longum subsp. infantis,Photorhabdus laumondii subsp. laumondii,Treponema pallidum subsp. pallidum,Francisella tularensis subsp. novicida,Fibrobacter succinogenes subsp. succinogenes,Lactobacillus delbrueckii subsp. bulgaricus,Mycobacterium avium subsp. paratuberculosis,Mycoplasma mycoides subsp. mycoides,Aeromonas salmonicida subsp. salmonicida,Clavibacter michiganensis subsp. nebraskensis,Campylobacter fetus subsp. fetus,Campylobacter fetus subsp. venerealis,Clavibacter michiganensis subsp. michiganensis,Clavibacter michiganensis subsp. insidiosus,Photobacterium damselae subsp. piscicida,Streptococcus equi subsp. zooepidemicus,Mycoplasma mycoides subsp. capri,Mycoplasma capricolum subsp. capripneumoniae,Pasteurella multocida subsp. multocida,Streptococcus gallolyticus subsp. gallolyticus,Streptomyces lavendulae subsp. lavendulae,Salmonella enterica subsp. salamae,Klebsiella pneumoniae subsp. pneumoniae,Staphylococcus capitis subsp. capitis,Fusobacterium nucleatum subsp. nucleatum,Fusobacterium nucleatum subsp. polymorphum,Lactobacillus delbrueckii subsp. delbrueckii,Photobacterium damselae subsp. damselae,Campylobacter hyointestinalis subsp. hyointestinalis,Campylobacter hyointestinalis subsp. lawsonii,Legionella pneumophila subsp. pascullei,Legionella pneumophila subsp. pneumophila,Leuconostoc gelidum subsp. gasicomitatum,Francisella tularensis subsp. tularensis,Francisella tularensis subsp. holarctica,Streptomyces rimosus subsp. rimosus,Bacillus subtilis subsp. subtilis,Fusobacterium necrophorum subsp. funduliforme,Paenibacillus larvae subsp. larvae,Streptococcus equi subsp. equi,Fusobacterium nucleatum subsp. vincentii,Thermoclostridium stercorarium subsp. stercorarium,Morganella morganii subsp. morganii,Streptococcus constellatus subsp. pharyngis,Listeria ivanovii subsp. ivanovii,Mycobacterium intracellulare subsp. chimaera,Lactobacillus delbrueckii subsp. indicus,Enterobacter hormaechei subsp. steigerwaltii,Bifidobacterium animalis subsp. animalis,Streptomyces hygroscopicus subsp. jinggangensis,Mycobacteroides abscessus subsp. bolletii,Acetobacter pasteurianus subsp. pasteurianus,Campylobacter lari subsp. concheus,Proteus terrae subsp. cibarius,Bifidobacterium catenulatum subsp. kashiwanohense,Xylella fastidiosa subsp. fastidiosa,Xylella fastidiosa subsp. multiplex,Borreliella garinii subsp. bavariensis,Mycobacteroides abscessus subsp. abscessus,Campylobacter fetus subsp. testudinum,Campylobacter pinnipediorum subsp. pinnipediorum,Klebsiella quasipneumoniae subsp. quasipneumoniae,Enterobacter hormaechei subsp. hoffmannii,Clavibacter michiganensis subsp. capsici,Sphingopyxis terrae subsp. terrae,Alistipes onderdonkii subsp. vulgaris,Xylella fastidiosa subsp. morus,Bradyrhizobium barranii subsp. barranii,Campylobacter jejuni subsp. jejuni,Neisseria elongata subsp. glycolytica,Lacticaseibacillus paracasei subsp. tolerans,Campylobacter pinnipediorum subsp. caledonicus,Treponema socranskii subsp. buccale,Latilactobacillus sakei subsp. sakei,Lactiplantibacillus plantarum subsp. plantarum,Paenibacillus larvae subsp. pulvifaciens,Lactobacillus delbrueckii subsp. lactis,Enterobacter hormaechei subsp. oharae,Aeromonas salmonicida subsp. masoucida,Rickettsia conorii subsp. heilongjiangensis,Klebsiella quasipneumoniae subsp. similipneumoniae,Bradyrhizobium barranii subsp. apii,Lactobacillus kefiranofaciens subsp. kefiranofaciens,Pectobacterium carotovorum subsp. carotovorum,Xylella fastidiosa subsp. sandyi,Salmonella enterica subsp. houtenae,Mycobacterium intracellulare subsp. yongonense,Clavibacter michiganensis subsp. sepedonicus,Salmonella enterica subsp. diarizonae,Streptococcus infantarius subsp. infantarius,Bifidobacterium longum subsp. suillum,Mycobacterium avium subsp. avium,Vibrio tapetis subsp. tapetis,Actinosynnema pretiosum subsp. pretiosum,Yersinia enterocolitica subsp. enterocolitica,Desulfosarcina ovata subsp. sediminis,Mycobacteroides abscessus subsp. massiliense,Bacillus subtilis subsp. natto,Loigolactobacillus coryniformis subsp. torquens,Yersinia enterocolitica subsp. palearctica,Pantoea stewartii subsp. stewartii,Salmonella enterica subsp. arizonae,Ralstonia syzygii subsp. celebesensis,Lentilactobacillus buchneri subsp. silagei,Aeromonas hydrophila subsp. hydrophila,Zymomonas mobilis subsp. pomaceae,Limosilactobacillus reuteri subsp. reuteri,Leuconostoc mesenteroides subsp. dextranicum,Propionibacterium freudenreichii subsp. shermanii,Nocardiopsis dassonvillei subsp. dassonvillei,Lactobacillus kefiranofaciens subsp. kefirgranum,Carnobacterium inhibens subsp. gilichinskyi,Klebsiella variicola subsp. variicola,Clavibacter michiganensis subsp. tessellarius,Burkholderia ubonensis subsp. mesacidophila,Streptomyces griseus subsp. griseus,Yersinia pestis subsp. pestis,Streptomyces hygroscopicus subsp. limoneus,Enterobacter cloacae subsp. cloacae,Mycobacterium intracellulare subsp. intracellulare,Leuconostoc gelidum subsp. aenigmaticum,Beijerinckia indica subsp. indica
Y4_S89,0.706357,0.00531096,0.0106219,0.0106219,0.0106219,0.0159329,0.0212438,0.00531096,0.00531096,0.0106219,0.0690424,0.00531096,1.51893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMediaT_1_L_00h_05F8_S105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMedia_3_L_48h_02F6_S111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMedia_3_L_08h_02F5_S110,NA,NA,NA,NA,0.100301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100301,0.100301,0.100301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMedia_3_L_00h_02F4_S109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMedia_2_L_00h_02H1_S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0474383,NA,NA,NA,NA,NA,NA,NA,NA,0.0474383,0.0474383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMedia_1_L_0h_05F5_S102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WKMedia_1_L_08h_05F6_S103,0.154321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.308642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK069-2-L-48h-05D2_S81,0.000264042,0.000101555,0.000304664,0.000264042,0.00822592,0.000995235,0.000365596,NA,0.000548395,0.0014827,0.00229513,0.000406218,0.000304664,0.000162487,NA,NA,0.000589017,8.12437e-05,0.00117803,0.00109679,0.000243731,0.00105617,0.000406218,0.000162487,0.000507773,0.000324975,6.09327e-05,4.06218e-05,0.000182798,4.06218e-05,0.000589017,2.03109e-05,0.000182798,8.12437e-05,0.000406218,0.00125928,0.0020514,0.000528084,0.000142176,0.000467151,6.09327e-05,0.000101555,0.000264042,2.03109e-05,0.00044684,0.000751504,2.03109e-05,0.00188892,0.000121865,0.000121865,0.000142176,0.000284353,0.000710882,8.12437e-05,2.03109e-05,0.00170612,0.000792126,0.000771815,0.000832748,0.000609327,0.000203109,0.000264042,4.06218e-05,6.09327e-05,4.06218e-05,6.09327e-05,0.000203109,4.06218e-05,2.03109e-05,0.000873369,2.03109e-05,0.000406218,2.03109e-05,0.000426529,0.000203109,0.000467151,6.09327e-05,0.000121865,0.000710882,0.000203109,0.000243731,2.03109e-05,4.06218e-05,6.09327e-05,4.06218e-05,0.000101555,2.03109e-05,2.03109e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK069-2-L-08h-05D1_S80,0.000134455,4.48184e-05,0.000201683,4.48184e-05,0.00168069,0.000268911,0.000246501,NA,0.000112046,0.000493003,0.000560231,0.000179274,8.96369e-05,4.48184e-05,NA,4.48184e-05,0.000358548,0.000134455,0.000560231,0.000672277,0.000112046,0.000560231,6.72277e-05,0.000112046,0.000224092,0.000112046,NA,2.24092e-05,4.48184e-05,NA,0.000358548,NA,0.000179274,NA,0.000112046,0.000470594,0.00479557,0.000268911,8.96369e-05,0.000224092,NA,NA,6.72277e-05,8.96369e-05,0.000224092,0.000425775,NA,0.000627458,8.96369e-05,0.000134455,0.000112046,0.000358548,0.000179274,NA,NA,0.000313729,0.00150142,0.000179274,0.00029132,0.000179274,8.96369e-05,2.24092e-05,6.72277e-05,NA,0.000112046,2.24092e-05,2.24092e-05,NA,NA,0.000313729,NA,2.24092e-05,4.48184e-05,0.000224092,2.24092e-05,8.96369e-05,2.24092e-05,4.48184e-05,0.000761914,8.96369e-05,8.96369e-05,NA,NA,2.24092e-05,NA,0.000112046,2.24092e-05,NA,4.48184e-05,2.24092e-05,0.000134455,2.24092e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WK069-2-G-48h-05I4_S128,0.00055311,7.90157e-05,0.000869173,0.000474094,0.00561012,0.000316063,0.000790157,NA,0.000790157,0.00126425,0.00126425,0.000158031,0.000237047,0.000237047,NA,0.000790157,0.00181736,0.000632126,0.00173835,0.00181736,0.000237047,0.00142228,0.000316063,0.000711141,0.000632126,7.90157e-05,NA,NA,NA,NA,0.0010272,NA,0.000316063,NA,NA,0.00197539,0.00308161,0.000158031,0.000316063,0.00055311,NA,7.90157e-05,NA,NA,0.000711141,0.000474094,7.90157e-05,0.00260752,0.000158031,0.000632126,0.00055311,0.000632126,0.000474094,NA,NA,0.000869173,0.00181736,0.00134327,0.000711141,0.000237047,0.000474094,NA,NA,7.90157e-05,0.000237047,NA,0.000790157,NA,NA,7.90157e-05,NA,NA,NA,0.000158031,7.90157e-05,0.000237047,0.000237047,0.000237047,0.00237047,0.000395079,0.000237047,NA,NA,7.90157e-05,NA,NA,7.90157e-05,7.90157e-05,0.000158031,7.90157e-05,0.00158031,NA,7.90157e-05,7.90157e-05,0.000158031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
