sample_id,species,relative_abundance,data_source,kefir type,group
A10_S10,Lactococcus cremoris,52.6771,Walsh et al 2023,ML,milk
A11_S11,Lactococcus cremoris,45.3202,Walsh et al 2023,ML,milk
A12_S12,Lactococcus cremoris,46.6199,Walsh et al 2023,ML,milk
A6_S6,Lactococcus cremoris,40.0948,Walsh et al 2023,ML,milk
A7_S7,Lactococcus cremoris,50.663,Walsh et al 2023,ML,milk
A8_S8,Lactococcus cremoris,55.5275,Walsh et al 2023,ML,milk
A9_S9,Lactococcus cremoris,55.2546,Walsh et al 2023,ML,milk
B1_S13,Lactococcus cremoris,40.8987,Walsh et al 2023,ML,milk
B10_S22,Lactococcus cremoris,53.0944,Walsh et al 2023,ML,milk
B11_S23,Lactococcus cremoris,59.4919,Walsh et al 2023,ML,milk
B12_S24,Lactococcus cremoris,46.5413,Walsh et al 2023,ML,milk
B2_S14,Lactococcus lactis,24.415,Walsh et al 2023,ML,milk
B3_S15,Lactococcus lactis,28.8149,Walsh et al 2023,ML,milk
B4_S16,Lactococcus lactis,33.3876,Walsh et al 2023,ML,milk
B5_S17,Lactococcus cremoris,29.7811,Walsh et al 2023,ML,milk
B6_S18,Lactococcus lactis,37.4316,Walsh et al 2023,ML,milk
B7_S19,Lactococcus cremoris,47.8292,Walsh et al 2023,ML,milk
B8_S20,Lactococcus cremoris,25.9829,Walsh et al 2023,ML,milk
B9_S21,Lactococcus cremoris,47.4686,Walsh et al 2023,ML,milk
C1_S25,Lactococcus cremoris,42.3442,Walsh et al 2023,ML,milk
C10_S34,Lactococcus cremoris,52.9572,Walsh et al 2023,ML,milk
C11_S35,Lactococcus cremoris,56.8584,Walsh et al 2023,ML,milk
C12_S36,Lactococcus cremoris,51.098,Walsh et al 2023,ML,milk
C2_S26,Lactococcus lactis,26.436,Walsh et al 2023,ML,milk
C3_S27,Lactococcus lactis,50.263,Walsh et al 2023,ML,milk
C4_S28,Lactococcus lactis,41.3876,Walsh et al 2023,ML,milk
C5_S29,Lactococcus lactis,44.3794,Walsh et al 2023,ML,milk
C6_S30,Lactococcus cremoris,54.0511,Walsh et al 2023,ML,milk
C7_S31,Lactococcus cremoris,43.8403,Walsh et al 2023,ML,milk
C8_S32,Lactococcus cremoris,45.9661,Walsh et al 2023,ML,milk
C9_S33,Lactococcus cremoris,37.7518,Walsh et al 2023,ML,milk
D1_S37,Lactococcus cremoris,46.8088,Walsh et al 2023,ML,milk
D10_S46,Lactococcus cremoris,57.903,Walsh et al 2023,ML,milk
D11_S47,Lactococcus cremoris,57.431,Walsh et al 2023,ML,milk
D12_S48,Lactococcus cremoris,56.9292,Walsh et al 2023,ML,milk
D2_S38,Lactococcus cremoris,30.8558,Walsh et al 2023,ML,milk
D3_S39,Lactococcus cremoris,51.9809,Walsh et al 2023,ML,milk
D4_S40,Lactococcus cremoris,48.2466,Walsh et al 2023,ML,milk
D5_S41,Lactococcus cremoris,44.0204,Walsh et al 2023,ML,milk
D6_S42,Lactobacillus kefiranofaciens,36.6804,Walsh et al 2023,ML,milk
D7_S43,Lactobacillus kefiranofaciens,19.8242,Walsh et al 2023,ML,milk
D8_S44,Lactobacillus helveticus,39.3032,Walsh et al 2023,ML,milk
D9_S45,Lactococcus lactis,28.3954,Walsh et al 2023,ML,milk
E1_S49,Lactococcus cremoris,60.6486,Walsh et al 2023,ML,milk
E10_S58,Lactococcus cremoris,24.7683,Walsh et al 2023,ML,milk
E11_S59,Lactococcus cremoris,52.4177,Walsh et al 2023,ML,milk
E12_S60,Lactococcus cremoris,44.9975,Walsh et al 2023,ML,milk
E2_S50,Lactobacillus kefiranofaciens,26.7341,Walsh et al 2023,ML,milk
E3_S51,Lactococcus cremoris,44.0783,Walsh et al 2023,ML,milk
E4_S52,Lactococcus cremoris,49.8183,Walsh et al 2023,ML,milk
E5_S53,Lactococcus cremoris,49.6167,Walsh et al 2023,ML,milk
E6_S54,Lactobacillus kefiranofaciens,17.9086,Walsh et al 2023,ML,milk
E7_S55,Lactococcus cremoris,52.3129,Walsh et al 2023,ML,milk
E8_S56,Lactococcus cremoris,47.487,Walsh et al 2023,ML,milk
E9_S57,Lactococcus cremoris,56.1463,Walsh et al 2023,ML,milk
F1_S61,Lactococcus cremoris,56.9251,Walsh et al 2023,ML,milk
F10_S70,Lactobacillus kefiranofaciens,36.036,Walsh et al 2023,ML,milk
F11_S71,Lactococcus cremoris,49.4239,Walsh et al 2023,ML,milk
F12_S72,Lactococcus cremoris,49.0907,Walsh et al 2023,ML,milk
F2_S62,Lactobacillus kefiranofaciens,21.1449,Walsh et al 2023,ML,milk
F3_S63,Lactococcus cremoris,49.1893,Walsh et al 2023,ML,milk
F4_S64,Lactococcus cremoris,42.2816,Walsh et al 2023,ML,milk
F5_S65,Lactococcus cremoris,47.4527,Walsh et al 2023,ML,milk
F6_S66,Leuconostoc mesenteroides,62.7739,Walsh et al 2023,ML,milk
F7_S67,Lactococcus cremoris,36.4774,Walsh et al 2023,ML,milk
F8_S68,Lactococcus cremoris,23.2708,Walsh et al 2023,ML,milk
F9_S69,Lactococcus cremoris,35.0186,Walsh et al 2023,ML,milk
G1_S73,Lactococcus cremoris,52.0084,Walsh et al 2023,ML,milk
G10_S82,Lactococcus cremoris,24.8046,Walsh et al 2023,ML,milk
G11_S83,Lactococcus lactis,43.1916,Walsh et al 2023,ML,milk
G12_S84,Lactococcus lactis,33.0767,Walsh et al 2023,ML,milk
G2_S74,Lactococcus lactis,51.6901,Walsh et al 2023,ML,milk
G3_S75,Lactococcus lactis,57.6113,Walsh et al 2023,ML,milk
G4_S76,Lactococcus lactis,55.1813,Walsh et al 2023,ML,milk
G5_S77,Lactococcus lactis,56.7975,Walsh et al 2023,ML,milk
G6_S78,Lactococcus cremoris,39.7835,Walsh et al 2023,ML,milk
G7_S79,Lactococcus lactis,31.3338,Walsh et al 2023,ML,milk
G8_S80,Lactococcus lactis,30.5626,Walsh et al 2023,ML,milk
G9_S81,Lactococcus lactis,42.2974,Walsh et al 2023,ML,milk
H1_S85,Lactococcus lactis,48.197,Walsh et al 2023,ML,milk
H10_S94,Lactobacillus helveticus,31.1483,Walsh et al 2023,ML,milk
H11_S95,Lactococcus lactis,42.3644,Walsh et al 2023,ML,milk
H12_S96,Lactococcus lactis,28.8151,Walsh et al 2023,ML,milk
H2_S86,Lactococcus cremoris,6.95175,Walsh et al 2023,ML,milk
H3_S55,Lactococcus lactis,47.7552,Walsh et al 2023,ML,milk
H4_S88,Lactococcus lactis,36.9202,Walsh et al 2023,ML,milk
H5_S89,Lactococcus lactis,51.2621,Walsh et al 2023,ML,milk
H6_S90,Lactococcus cremoris,55.8293,Walsh et al 2023,ML,milk
H7_S91,Lactococcus cremoris,58.195,Walsh et al 2023,ML,milk
H8_S92,Lactococcus cremoris,59.3087,Walsh et al 2023,ML,milk
H9_S93,Lactococcus cremoris,59.7498,Walsh et al 2023,ML,milk
I1_S97,Lactococcus lactis,22.4942,Walsh et al 2023,ML,milk
I10_S106,Lactococcus lactis,54.7961,Walsh et al 2023,ML,milk
I11_S107,Lactococcus lactis,52.4675,Walsh et al 2023,ML,milk
I12_S108,Lactococcus lactis,47.1906,Walsh et al 2023,ML,milk
I2_S98,Lactobacillus helveticus,63.5033,Walsh et al 2023,ML,milk
I3_S99,Lactococcus lactis,23.4083,Walsh et al 2023,ML,milk
I4_S100,Lactobacillus helveticus,47.3301,Walsh et al 2023,ML,milk
I5_S101,Lactobacillus helveticus,45.2533,Walsh et al 2023,ML,milk
I6_S102,Lactobacillus helveticus,64.6016,Walsh et al 2023,ML,milk
I7_S103,Lactococcus lactis,45.4964,Walsh et al 2023,ML,milk
I8_S104,Lactobacillus helveticus,39.7451,Walsh et al 2023,ML,milk
I9_S105,Lactobacillus helveticus,30.7349,Walsh et al 2023,ML,milk
J1_S109,Lactococcus lactis,37.3705,Walsh et al 2023,ML,milk
J10_S118,Lactococcus lactis,31.015,Walsh et al 2023,ML,milk
J11_S119,Lactococcus lactis,46.1008,Walsh et al 2023,ML,milk
J12_S120,Lactococcus lactis,51.7121,Walsh et al 2023,ML,milk
J2_S110,Lactobacillus helveticus,70.7507,Walsh et al 2023,ML,milk
J3_S111,Lactobacillus helveticus,41.6458,Walsh et al 2023,ML,milk
J4_S112,Lactobacillus helveticus,52.5938,Walsh et al 2023,ML,milk
J5_S113,Lactobacillus helveticus,35.6283,Walsh et al 2023,ML,milk
J6_S114,Lactococcus lactis,53.9202,Walsh et al 2023,ML,milk
J7_S115,Lactococcus lactis,57.3286,Walsh et al 2023,ML,milk
J8_S116,Lactococcus lactis,47.0833,Walsh et al 2023,ML,milk
J9_S117,Lactococcus lactis,55.7836,Walsh et al 2023,ML,milk
k1_S121,Lactococcus lactis,53.4666,Walsh et al 2023,ML,milk
k10_S5,Lactococcus lactis,39.7499,Walsh et al 2023,ML,milk
k11_S6,Lactococcus lactis,52.5837,Walsh et al 2023,ML,milk
k12_S7,Lactococcus lactis,54.0443,Walsh et al 2023,ML,milk
k2_S122,Lactococcus lactis,54.7072,Walsh et al 2023,ML,milk
k3_S123,Lactococcus lactis,56.6038,Walsh et al 2023,ML,milk
