specie,sum_specie,kefir_type
Acetobacter ascendens,29,water
Acetobacter pasteurianus,56,water
Brettanomyces bruxellensis,26,water
Gluconobacter oxydans,108,water
Lacticaseibacillus paracasei,206,water
Lacticaseibacillus rhamnosus,76,water
Lactiplantibacillus plantarum,203,water
Lentilactobacillus hilgardii,185,water
Levilactobacillus brevis,153,water
Limosilactobacillus fermentum,26,water
Saccharomyces cerevisiae,140,water
Zygotorulaspora mrakii,32,water
Zymomonas mobilis,61,water
