sample_to,samples_from,beta_diversity_values,id.to,kefir type.to,Stage.to,data_source.to,id_old.to,observations.to,category_confirmed.to,id.from,kefir type.from,Stage.from,data_source.from,id_old.from,observations.from,category_confirmed.from,same_time
TG_ID056_WL_T2_S47,TG_ID056_WL_T1_S23,0.481423668747275,ID056,WL,wk01,This study,ID056,It looks unchanged,Brown sugar-None,ID056,WL,wk05,This study,ID056,It looks unchanged,Brown sugar-None,wk01 - wk05
TG_ID062_WL_T2_S321,TG_ID062_WL_T1_S140,0.564172937640607,ID062,WL,wk01,This study,ID062,NA,Brown sugar-None,ID062,WL,wk05,This study,ID062,NA,Brown sugar-None,wk01 - wk05
TG_ID070_WL_T2_S20,TG_ID070_WL_T1_S105,0.844840768297847,ID070,WL,wk01,This study,ID070,It looks unchanged,Brown sugar-None,ID070,WL,wk05,This study,ID070,NA,Brown sugar-None,wk01 - wk05
TG_ID082_WL_T2_S345,TG_ID082_WL_T1_S305,0.514714534251164,ID082,WL,wk01,This study,ID082,It looks unchanged,White sugar-dried apricot,ID082,WL,wk05,This study,ID082,It looks unchanged,White sugar-dried apricot,wk01 - wk05
TG_ID084_WL_T2_S369,TG_ID084_WL_T1_S329,0.985862368704387,ID084,WL,wk01,This study,ID084,It looks unchanged,White sugar-dried apricot,ID084,WL,wk05,This study,ID084,It looks unchanged,White sugar-dried apricot,wk01 - wk05
TG_ID085_WL_T2_S298,TG_ID085_WL_T1_S341,0.722342692338031,ID085,WL,wk01,This study,ID085,It is bubbeling,White sugar-dried fig and fresh lemon,ID085,WL,wk05,This study,ID085,It is bubbeling,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID086_WL_T2_S310,TG_ID086_WL_T1_S353,0.851268377580351,ID086,WL,wk01,This study,ID086,It looks unchanged,Brown sugar-None,ID086,WL,wk05,This study,ID086,It looks unchanged,Brown sugar-None,wk01 - wk05
TG_ID087_WL_T2_S322,TG_ID087_WL_T1_S365,0.908164818728727,ID087,WL,wk01,This study,ID087,There is a biofilm on top of the liquid,White sugar-dried fig and fresh lemon,ID087,WL,wk05,This study,ID087,There is a biofilm on top of the liquid,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID088_WL_T2_S346,TG_ID088_WL_T1_S377,0.916791743792857,ID088,WL,wk01,This study,ID088,It looks unchanged,White sugar-dried fig and fresh lemon,ID088,WL,wk05,This study,ID088,It is bubbeling,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID089_WL_T2_S358,TG_ID089_WL_T1_S294,0.954534669809705,ID089,WL,wk01,This study,ID089,It is bubbeling,White sugar-dried apricot,ID089,WL,wk05,This study,ID089,There is a biofilm on top of the liquid,White sugar-dried apricot,wk01 - wk05
TG_ID090_WL_T2_S370,TG_ID090_WL_T1_S306,0.9953976345481,ID090,WL,wk01,This study,ID090,It looks unchanged,White sugar-dried apricot,ID090,WL,wk05,This study,ID090,It is bubbeling,White sugar-dried apricot,wk01 - wk05
TG_ID092_WL_T2_S172,TG_ID092_WL_T1_S318,0.973104139430517,ID092,WL,wk01,This study,ID092,NA,White sugar-dried apricot,ID092,WL,wk05,This study,ID092,NA,White sugar-dried apricot,wk01 - wk05
TG_ID093_WL_T2_S5,TG_ID093_WL_T1_S171,0.405803540678663,ID093,WL,wk01,This study,ID093,It looks unchanged,White sugar-dried fig,ID093,WL,wk05,This study,ID093,There is a biofilm on top of the liquid,White sugar-dried fig,wk01 - wk05
TG_ID097_WL_T2_S153,TG_ID097_WL_T1_S141,0.388417473789255,ID097,WL,wk01,This study,ID097,There is a biofilm on top of the liquid,White sugar-dried fig,ID097,WL,wk05,This study,ID097,There is a biofilm on top of the liquid,White sugar-dried fig,wk01 - wk05
TG_ID103_WL_T2_S85,TG_ID103_WL_T1_S68,0.853882545390308,ID103,WL,wk01,This study,ID103,It looks unchanged,White sugar-dried fig,ID103,WL,wk05,This study,ID103,There is a biofilm on top of the liquid,White sugar-dried fig,wk01 - wk05
TG_ID107_WL_T2_S87,TG_ID107_WL_T1_S86,0.310807836153659,ID107,WL,wk01,This study,ID107,It looks unchanged,White sugar-dried apricot,ID107,WL,wk05,This study,ID107,There is a biofilm on top of the liquid,White sugar-dried apricot,wk01 - wk05
TG_ID110_WL_T2_S177,TG_ID110_WL_T1_S173,0.72905473756389,ID110,WL,wk01,This study,ID110,There is a biofilm on top of the liquid,White sugar-dried fig,ID110,WL,wk05,This study,ID110,It is bubbeling,White sugar-dried fig,wk01 - wk05
TG_ID056_WG_T2_S35,TG_ID056_WG_T1_S11,0.380510459079665,ID056,WG,wk01,This study,ID056,It looks unchanged,Brown sugar-None,ID056,WG,wk05,This study,ID056,It looks unchanged,Brown sugar-None,wk01 - wk05
TG_ID061_WG_T2_S355,TG_ID061_WG_T1_S364,0.886429316054754,ID061,WG,wk01,This study,ID061,It is bubbeling,White sugar-dried apricot,ID061,WG,wk05,This study,ID061,It is bubbeling,White sugar-dried apricot,wk01 - wk05
TG_ID062_WG_T2_S320,TG_ID062_WG_T1_S128,0.447971280467654,ID062,WG,wk01,This study,ID062,NA,Brown sugar-None,ID062,WG,wk05,This study,ID062,NA,Brown sugar-None,wk01 - wk05
TG_ID070_WG_T2_S332,TG_ID070_WG_T1_S188,0.398989590031473,ID070,WG,wk01,This study,ID070,It looks unchanged,Brown sugar-None,ID070,WG,wk05,This study,ID070,It looks unchanged,Brown sugar-None,wk01 - wk05
TG_ID082_WG_T2_S344,TG_ID082_WG_T1_S330,0.296358492061308,ID082,WG,wk01,This study,ID082,It looks unchanged,White sugar-dried apricot,ID082,WG,wk05,This study,ID082,It looks unchanged,White sugar-dried apricot,wk01 - wk05
TG_ID083_WG_T2_S357,TG_ID083_WG_T1_S342,0.331652476669126,ID083,WG,wk01,This study,ID083,It looks unchanged,White sugar-dried fig and fresh lemon,ID083,WG,wk05,This study,ID083,It looks unchanged,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID083_WG_T2_S357,TG_ID083_WG_T1_S3,0.32810146807854,ID083,WG,wk01,This study,ID083,It looks unchanged,White sugar-dried fig and fresh lemon,ID083,WG,wk05,This study,ID083,It looks unchanged,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID084_WG_T2_S381,TG_ID084_WG_T1_S354,0.969084873163457,ID084,WG,wk01,This study,ID084,It looks unchanged,White sugar-dried apricot,ID084,WG,wk05,This study,ID084,It looks unchanged,White sugar-dried apricot,wk01 - wk05
TG_ID085_WG_T2_S123,TG_ID085_WG_T1_S366,0.65834829219284,ID085,WG,wk01,This study,ID085,It is bubbeling,White sugar-dried fig and fresh lemon,ID085,WG,wk05,This study,ID085,It is bubbeling,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID086_WG_T2_S356,TG_ID086_WG_T1_S378,0.543672989452441,ID086,WG,wk01,This study,ID086,It looks unchanged,Brown sugar-None,ID086,WG,wk05,This study,ID086,It looks unchanged,Brown sugar-None,wk01 - wk05
TG_ID087_WG_T2_S334,TG_ID087_WG_T1_S295,0.498526892007373,ID087,WG,wk01,This study,ID087,There is a biofilm on top of the liquid,White sugar-dried fig and fresh lemon,ID087,WG,wk05,This study,ID087,There is a biofilm on top of the liquid,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID088_WG_T2_S368,TG_ID088_WG_T1_S307,0.12489511739858,ID088,WG,wk01,This study,ID088,It looks unchanged,White sugar-dried fig and fresh lemon,ID088,WG,wk05,This study,ID088,It is bubbeling,White sugar-dried fig and fresh lemon,wk01 - wk05
TG_ID089_WG_T2_S380,TG_ID089_WG_T1_S319,0.766989542925245,ID089,WG,wk01,This study,ID089,It is bubbeling,White sugar-dried apricot,ID089,WG,wk05,This study,ID089,There is a biofilm on top of the liquid,White sugar-dried apricot,wk01 - wk05
TG_ID090_WG_T2_S297,TG_ID090_WG_T1_S331,0.94864398403804,ID090,WG,wk01,This study,ID090,It looks unchanged,White sugar-dried apricot,ID090,WG,wk05,This study,ID090,It is bubbeling,White sugar-dried apricot,wk01 - wk05
TG_ID092_WG_T2_S160,TG_ID092_WG_T1_S343,0.713731429694855,ID092,WG,wk01,This study,ID092,NA,White sugar-dried apricot,ID092,WG,wk05,This study,ID092,NA,White sugar-dried apricot,wk01 - wk05
TG_ID093_WG_T2_S164,TG_ID093_WG_T1_S163,0.108790447945759,ID093,WG,wk01,This study,ID093,It looks unchanged,White sugar-dried fig,ID093,WG,wk05,This study,ID093,There is a biofilm on top of the liquid,White sugar-dried fig,wk01 - wk05
TG_ID097_WG_T2_S184,TG_ID097_WG_T1_S129,0.242473173920291,ID097,WG,wk01,This study,ID097,There is a biofilm on top of the liquid,White sugar-dried fig,ID097,WG,wk05,This study,ID097,There is a biofilm on top of the liquid,White sugar-dried fig,wk01 - wk05
TG_ID103_WG_T2_S134,TG_ID103_WG_T1_S67,0.144990906117298,ID103,WG,wk01,This study,ID103,It looks unchanged,White sugar-dried fig,ID103,WG,wk05,This study,ID103,There is a biofilm on top of the liquid,White sugar-dried fig,wk01 - wk05
TG_ID107_WG_T2_S136,TG_ID107_WG_T1_S135,0.191362901338772,ID107,WG,wk01,This study,ID107,It looks unchanged,White sugar-dried apricot,ID107,WG,wk05,This study,ID107,There is a biofilm on top of the liquid,White sugar-dried apricot,wk01 - wk05
TG_ID110_WG_T2_S167,TG_ID110_WG_T1_S166,0.693183382807954,ID110,WG,wk01,This study,ID110,There is a biofilm on top of the liquid,White sugar-dried fig,ID110,WG,wk05,This study,ID110,It is bubbeling,White sugar-dried fig,wk01 - wk05
TG_ID009_ML_T2_S296,TG_ID009_ML_T1_S139,0.806028734630005,ID009,ML,wk01,This study,ID009,NA,Cow milk (whole),ID009,ML,wk05,This study,ID009,Looks unchanged,Cow milk (whole),wk01 - wk05
TG_ID012_ML_T2_S308,TG_ID012_ML_T1_S367,0.897436059098087,ID012,ML,wk01,This study,ID012,The milk has separated (whey & curds),Cow milk (whole),ID012,ML,wk05,This study,ID012,The milk has thickened,Cow milk (whole),wk01 - wk05
TG_ID020_ML_T2_S300,TG_ID020_ML_T1_S142,0.925835955469421,ID020,ML,wk01,This study,ID020,The milk has separated (whey & curds),Cow milk (low fat),ID020,ML,wk05,This study,ID020,The milk has separated (whey & curds),Cow milk (low fat),wk01 - wk05
TG_ID029_ML_T2_S16,TG_ID029_ML_T1_S145,0.851906276523658,ID029,ML,wk01,This study,ID029,Looks unchanged,Goat,ID029,ML,wk05,This study,ID029,The milk has thickened,Goat,wk01 - wk05
TG_ID029_ML_T2_S79,TG_ID029_ML_T1_S145,0.85331871421729,ID029,ML,wk01,This study,ID029,Looks unchanged,Goat,ID029,ML,wk05,This study,ID029,The milk has thickened,Goat,wk01 - wk05
TG_ID042_ML_T2_S312,TG_ID042_ML_T1_S114,0.962212332783336,ID042,ML,wk01,This study,ID042,Looks unchanged,Cow milk (skim),ID042,ML,wk05,This study,ID042,Looks unchanged,Cow milk (skim),wk01 - wk05
TG_ID043_ML_T2_S186,TG_ID043_ML_T1_S162,0.708559200415731,ID043,ML,wk01,This study,ID043,The milk has separated (whey & curds),Cow milk (whole),ID043,ML,wk05,This study,ID043,Looks unchanged,Cow milk (whole),wk01 - wk05
TG_ID050_ML_T2_S144,TG_ID050_ML_T1_S132,0.779768443167597,ID050,ML,wk01,This study,ID050,Looks unchanged,Cow milk (skim),ID050,ML,wk05,This study,ID050,NA,Cow milk (skim),wk01 - wk05
TG_ID053_ML_T2_S348,TG_ID053_ML_T1_S336,0.878216071720393,ID053,ML,wk01,This study,ID053,NA,Goat,ID053,ML,wk05,This study,ID053,Looks unchanged,Goat,wk01 - wk05
TG_ID115_ML_T2_S123,TG_ID115_ML_T1_S122,0.0964557558157017,ID115,ML,wk01,This study,ID115,Looks unchanged,Cow milk (low fat),ID115,ML,wk05,This study,ID115,The milk has thickened,Cow milk (low fat),wk01 - wk05
TG_ID124_ML_T2_S159,TG_ID124_ML_T1_S8,0.958960326454343,ID124,ML,wk01,This study,ID124,Looks unchanged,Cow milk (low fat),ID124,ML,wk05,This study,ID124,Looks unchanged,Cow milk (low fat),wk01 - wk05
TG_ID009_MG_T2_S382,TG_ID009_MG_T1_S325,0.0762914575880682,ID009,MG,wk01,This study,ID009,NA,Cow milk (whole),ID009,MG,wk05,This study,ID009,Looks unchanged,Cow milk (whole),wk01 - wk05
TG_ID010_MG_T2_S299,TG_ID010_MG_T1_S337,0.0989445305024649,ID010,MG,wk01,This study,ID010,Looks unchanged,Cow milk (low fat),ID010,MG,wk05,This study,ID010,Looks unchanged,Cow milk (low fat),wk01 - wk05
TG_ID012_MG_T2_S311,TG_ID012_MG_T1_S361,0.0979967944564533,ID012,MG,wk01,This study,ID012,The milk has separated (whey & curds),Cow milk (whole),ID012,MG,wk05,This study,ID012,The milk has thickened,Cow milk (whole),wk01 - wk05
TG_ID014_MG_T2_S6,TG_ID014_MG_T1_S1,0.0964911726153359,ID014,MG,wk01,This study,ID014,NA,Cow milk (skim),ID014,MG,wk05,This study,ID014,NA,Cow milk (skim),wk01 - wk05
TG_ID020_MG_T2_S323,TG_ID020_MG_T1_S106,0.336127282227756,ID020,MG,wk01,This study,ID020,The milk has separated (whey & curds),Cow milk (low fat),ID020,MG,wk05,This study,ID020,The milk has separated (whey & curds),Cow milk (low fat),wk01 - wk05
TG_ID037_MG_T2_S161,TG_ID037_MG_T1_S56,0.171453740440795,ID037,MG,wk01,This study,ID037,NA,Goat,ID037,MG,wk05,This study,ID037,The milk has thickened,Goat,wk01 - wk05
TG_ID042_MG_T2_S126,TG_ID042_MG_T1_S102,0.537558269239856,ID042,MG,wk01,This study,ID042,Looks unchanged,Cow milk (skim),ID042,MG,wk05,This study,ID042,Looks unchanged,Cow milk (skim),wk01 - wk05
TG_ID043_MG_T2_S174,TG_ID043_MG_T1_S150,0.144031952514563,ID043,MG,wk01,This study,ID043,The milk has separated (whey & curds),Cow milk (whole),ID043,MG,wk05,This study,ID043,Looks unchanged,Cow milk (whole),wk01 - wk05
TG_ID050_MG_T2_S192,TG_ID050_MG_T1_S180,0.0661160816375164,ID050,MG,wk01,This study,ID050,Looks unchanged,Cow milk (skim),ID050,MG,wk05,This study,ID050,NA,Cow milk (skim),wk01 - wk05
TG_ID052_MG_T2_S314,TG_ID052_MG_T1_S290,0.49435933676289,ID052,MG,wk01,This study,ID052,Looks unchanged,Goat,ID052,MG,wk05,This study,ID052,NA,Goat,wk01 - wk05
TG_ID053_MG_T2_S371,TG_ID053_MG_T1_S359,0.765978810457445,ID053,MG,wk01,This study,ID053,NA,Goat,ID053,MG,wk05,This study,ID053,Looks unchanged,Goat,wk01 - wk05
TG_ID115_MG_T2_S94,TG_ID115_MG_T1_S93,0.333291770105923,ID115,MG,wk01,This study,ID115,Looks unchanged,Cow milk (low fat),ID115,MG,wk05,This study,ID115,The milk has thickened,Cow milk (low fat),wk01 - wk05
TG_ID056_WL_T3_S71,TG_ID056_WL_T2_S47,0.904918585940832,ID056,WL,wk05,This study,ID056,It looks unchanged,Brown sugar-None,ID056,WL,wk09,This study,ID056,It looks unchanged,Brown sugar-None,wk05 - wk09
TG_ID060_WL_T3_S109,TG_ID060_WL_T2_S187,0.850341670136204,ID060,WL,wk05,This study,ID060,NA,Brown sugar-None,ID060,WL,wk09,This study,ID060,It looks unchanged,Brown sugar-None,wk05 - wk09
TG_ID061_WL_T3_S116,TG_ID061_WL_T2_S309,0.206338402924296,ID061,WL,wk05,This study,ID061,It is bubbeling,White sugar-dried apricot,ID061,WL,wk09,This study,ID061,It is bubbeling,White sugar-dried apricot,wk05 - wk09
TG_ID062_WL_T3_S98,TG_ID062_WL_T2_S321,0.36410878828493,ID062,WL,wk05,This study,ID062,NA,Brown sugar-None,ID062,WL,wk09,This study,ID062,It looks unchanged,Brown sugar-None,wk05 - wk09
TG_ID070_WL_T3_S333,TG_ID070_WL_T2_S20,0.415939038951636,ID070,WL,wk05,This study,ID070,NA,Brown sugar-None,ID070,WL,wk09,This study,ID070,It looks unchanged,Brown sugar-None,wk05 - wk09
TG_ID082_WL_T3_S400,TG_ID082_WL_T2_S345,0.555187189409537,ID082,WL,wk05,This study,ID082,It looks unchanged,White sugar-dried apricot,ID082,WL,wk09,This study,ID082,It looks unchanged,White sugar-dried apricot,wk05 - wk09
TG_ID084_WL_T3_S158,TG_ID084_WL_T2_S369,0.904490494949395,ID084,WL,wk05,This study,ID084,It looks unchanged,White sugar-dried apricot,ID084,WL,wk09,This study,ID084,It looks unchanged,White sugar-dried apricot,wk05 - wk09
TG_ID085_WL_T3_S111,TG_ID085_WL_T2_S298,0.274036758861896,ID085,WL,wk05,This study,ID085,It is bubbeling,White sugar-dried fig and fresh lemon,ID085,WL,wk09,This study,ID085,It is bubbeling,White sugar-dried fig and fresh lemon,wk05 - wk09
TG_ID086_WL_T3_S147,TG_ID086_WL_T2_S310,0.692076398542365,ID086,WL,wk05,This study,ID086,It looks unchanged,Brown sugar-None,ID086,WL,wk09,This study,ID086,It looks unchanged,Brown sugar-None,wk05 - wk09
TG_ID087_WL_T3_S171,TG_ID087_WL_T2_S322,0.297061895792179,ID087,WL,wk05,This study,ID087,There is a biofilm on top of the liquid,White sugar-dried fig and fresh lemon,ID087,WL,wk09,This study,ID087,There is a biofilm on top of the liquid,White sugar-dried fig and fresh lemon,wk05 - wk09
TG_ID088_WL_T3_S100,TG_ID088_WL_T2_S346,0.372446406266094,ID088,WL,wk05,This study,ID088,It is bubbeling,White sugar-dried fig and fresh lemon,ID088,WL,wk09,This study,ID088,It is bubbeling,White sugar-dried fig and fresh lemon,wk05 - wk09
TG_ID089_WL_T3_S124,TG_ID089_WL_T2_S358,0.0988541032520555,ID089,WL,wk05,This study,ID089,There is a biofilm on top of the liquid,White sugar-dried apricot,ID089,WL,wk09,This study,ID089,It is bubbeling,White sugar-dried apricot,wk05 - wk09
