Class,Compound,CAS,LRI,Ref RI,Reference odour descriptor,MCc0h,MCc8h,MCc48h,4c8h,4c48h,5b8h,5b48h,7c8h,7c48h,37b8h,37b48h,40b8h,40b48h,41b8h,41b48h,42b8h,42b48h,46b8h,46b48h,49b8h,49b48h,56b8h,56b48h,57b8h,57b48h,64b8h,64b48h,65b8h,65b48h,67b8h,67b48h,68b8h,68b48h,01T0ha,18T0ha,01T2ha,18T2ha,01T4ha,18T4ha,01T8ha,18T8ha,01T16ha,18T16ha,01T48ha,18T48ha,MCT0ha
Acid,Acetic acid,64-19-7,688,690,"sharp, pungent, vinegar, sour,  fruity",0,0,0,1650141,10422393,1178635,5965235,258125,5320238,774140,3474477,795697,9913223,1235734,6141173,980361,7944121,869164,3668163,976053,4609556,1977378,5759272,1120054,4096410,1435247,3620336,559903,2097097,892015,9850219,138978,6312427,584715,293230,230456,247960,153616,439378,0,0,632941,1174734,6923589,3333676,640789
Acid,2-Methylpropanoic acid (isobutryic acid),79-31-2,833,836,fruity,0,0,0,17241,280538,18364,122421,0,272275,18694,289093,0,200708,27079,245898,20304,350836,0,117858,0,1372256,85144,274452,44638,269766,0,109594,0,1016131,0,248040,0,345403,0,0,0,0,0,0,0,0,0,0,200014,0,0
Acid,Butanoic acid,107-92-6,864,864,"rancid, cheesy, strong, sweaty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96274,0,0,0,10017,0,1565499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acid,Isovaleric acid,503-74-2,914,917,"cheesy, sweaty, old socks, rancid, goat, rotten fruit",0,0,0,46847,1958765,39471,394294,35959,276935,39540,543435,0,1305841,27209,424712,25948,663362,30011,361430,20595,1923782,150709,507788,24073,289725,49213,447159,19109,991784,44436,2360636,0,441643,0,0,0,0,0,0,0,0,37299,63430,466908,0,0
Acid,3-Methylbutanoic acid (Isovaleric acid),116-53-0 ,922,924,"acidic, fruity, dirty, cheesy, fermented",0,0,0,0,128158,0,126685,0,90484,0,288073,0,188976,0,42767,13427,331147,0,112335,0,338801,10965,69759,7848,155856,0,55902,0,248667,0,216803,0,321005,0,0,0,0,0,0,0,0,0,0,163688,0,0
Acid,Hexanoic acid,142-62-1,1049,1052,"acidic, sweaty, cheesy, sharp, goaty",9697,9327,0,112613,473130,175755,668170,9056,177207,39247,444896,16433,173062,21230,667485,17102,933497,43434,471234,12849,87555,62599,302648,21639,617377,44382,214293,3311,55662,14624,352084,0,453817,0,0,0,0,0,0,0,0,61522,62855,411678,350192,0
Acid,Octanoic acid,124-07-2,1241,1244," waxy, soapy, cheesy, rancid, pungent, sweat",0,0,0,52793,2215416,171296,2024597,0,583213,35630,1544531,0,523572,11299,1847701,0,3048174,14690,779066,15337,104572,45124,1088595,15771,2453595,10335,642560,0,47772,0,1751316,0,1778152,29023,0,0,0,0,0,0,0,36351,65193,1607686,1156693,10875
Acid,Nonanoic acid,112-05-0,1338,1347,"waxy, dirty, cheesy, dairy",0,0,0,2568,108587,10599,104241,0,80758,4079,92360,0,76302,0,103320,0,77862,822,37407,0,42421,6892,60295,0,113747,0,45391,0,24132,0,132991,0,90258,0,0,0,0,0,0,0,0,1965,11140,73987,100291,0
Acid,Decanoic acid,334-48-5,1437,1440,"rancid, fatty",0,0,0,0,44042,0,73691,0,9539,0,62523,0,10594,0,69404,0,166546,0,19801,0,0,0,34429,0,91537,0,14649,0,0,0,69808,0,31579,0,0,0,0,0,0,0,0,0,0,26521,31429,0
Acetal,Diethyl acetal,105-57-7,743,747,"etheral, green, earthy, vegetable",0,0,0,0,0,0,121800,0,0,0,0,0,0,0,96923,0,215484,0,125341,0,0,0,0,0,109813,0,0,0,0,0,0,0,127432,0,0,0,0,0,0,0,0,0,77360,69101,1496032,0
Alcohol,Ethanol,64-17-5,504,506,"sweet, alcoholic, medicinal",929184,899305,1317321,20287713,0,12518805,0,8276256,0,9043884,12560070,16402832,8536248,8578284,0,8559414,0,12651760,0,3205892,4998594,8227876,5873101,8615046,0,8790496,8793561,2811853,8315050,16031170,20742868,19758390,0,3989759,6830692,7164907,8318739,8062704,8634891,8817139,20144867,8658900,8345118,18387333,0,614868
Alcohol,1-Propanol,71-23-8,608,612,"sweet, candy, fruity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4518,0,0,0,0,0,0,0,0,0,0,0,0,0,13206,18748,25124,66195,0,113945,0
Alcohol,2-Methyl-1-propanol (isobutanol),78-83-1,676,678,"ethereal, winey",0,0,0,251583,805927,560540,586515,81060,674962,0,163088,45646,294127,325420,933438,0,78482,688782,647851,29734,798108,187713,412222,258476,1103737,257279,437343,112048,1340275,636588,753766,490367,1431108,25434,41648,183032,97038,310283,106737,507612,221550,1066521,468574,1710389,948158,0
Alcohol,3-Methyl-1-butanol (isoamyl alcohol),123-51-3,783,784,"alcoholic, whiskey, malty, banana, pungent",0,0,9662,9181802,15890872,12667996,14717742,2208222,13479692,1706673,11353780,4416606,7964236,8252786,22594136,722821,2179892,15472331,12494729,928685,7554838,4876754,8852746,5590103,12682982,6346500,9207288,1650689,7957798,12498880,13736606,11323989,27363306,1707745,1120889,4469031,2195059,5240815,2391483,6909397,3109617,15000109,7002044,28225868,12129830,230853
Alcohol,2-Methyl-1-butanol,137-32-6,787,789,"malty, roasted, winey, fruity, fusel, alcoholic",0,0,0,1845960,3612476,4099791,5640984,500834,4299136,257335,2035478,1257889,4112031,1605714,5317186,247961,831295,3776686,4567302,93580,1168282,887901,1627754,1328454,5130940,1108250,2095575,205321,1689902,3601367,5883611,2748719,9695639,446455,291386,1028444,478164,1124969,526652,1686061,826310,3587127,1641332,9161691,2553596,85380
