sample,(E)-Citral,1-Hydroxy-2-propanone,1-Propanol,"1,3-Di-tert-butylbenzene  (Benzene, 1,3-bis(1,1-dimethylethyl)-)","1,3-Pentadiene (piperylene)",2-Butanone,2-Ethyl-1-hexanol,2-Heptanone,2-Hexanone,2-Methyl-1-butanol,2-Methyl-1-propanol (isobutanol),2-Methylbutyl acetate,2-Methylfuran,2-Methylpropanal,2-Methylpropanal (Isobutyraldehyde),2-Methylpropanoic acid (isobutryic acid),2-Nonanone,2-Pentanone,2-Phenylethanol (Phenylethyl alcohol),"2,3-Butanedione","2,3-Heptanedione","2,5-Dimethylfuran",3-Methyl-1-butanol (isoamyl alcohol),3-Methylbutanal (Isovaleraldehyde),3-Methylbutanoic acid (Isovaleric acid),4-Ethylguaiacol,4-Methyl-2-heptanone,5-Methylfurfural,Acetaldehyde,Acetic acid,Acetoin,Acetone,Acetophenone,Benzaldehyde,Benzeneacetaldehyde (Phenylacetaldehyde),Butanoic acid,D-Limonene,Decanoic acid,Diethyl acetal,Dimethyl disulfide,Ethanol,Ethyl 2-methylbutanoate,Ethyl acetate,Ethyl benzeneacetate,Ethyl benzoate,Ethyl butanoate,Ethyl decanoate,Ethyl dodecanoate,Ethyl ether,Ethyl heptanoate,Ethyl hexanoate,Ethyl lactate,Ethyl nonanoate,Ethyl octanoate,Ethyl propanoate,Ethyl tetradecanoate,Ethyl trans-4-decenoate,Furfural,Heptanal,Heptane,Hexanal,Hexane,Hexanoic acid,Isoamyl acetate,Isoamyl octanoate,Isobutyl octanoate,Isovaleric acid,Methyl acetate,Methyl butanoate,Methyl decanoate,Methyl dodecanoate,Methyl hexanoate,Methyl Isobutyl Ketone,Nonanal,Nonanoic acid,o-xylene,Octanal,Octanoic acid,p-Xylene,Styrene,Toluene,?-Pinene,?-Damascenone,?-Phenylethyl acetate
Media-3-L-00h,0,17727.33333,0,46758,0,143741.3333,78896.33333,26061.33333,0,0,0,0,5385.666667,0,59291,0,0,142135,0,132334,0,0,0,0,0,4043.666667,0,0,0,0,450676.6667,536764,8535.666667,305956,15684,0,0,0,0,39110.66667,929184.3333,0,89659,0,9597.333333,26419.66667,0,0,76756.33333,0,0,0,0,8611.333333,0,0,0,188444,18265,1272991.333,105082,47572.66667,9697.333333,0,0,0,0,356830.6667,0,0,0,22248.33333,69805.33333,99985.66667,0,9554.666667,14555.66667,0,0,6262.333333,14418.66667,491.6666667,26218.66667,59794.33333
Media-3-L-08h,0,20226.33333,0,42991.66667,0,139794.3333,108984.3333,31615.33333,0,0,0,0,2675,0,51485,0,0,140072.3333,0,132254,0,0,0,0,0,3286.333333,0,0,0,0,496792.6667,531027.3333,8913,309545.3333,12938.33333,0,0,0,0,45099.33333,899305.3333,0,87041.66667,0,10544,28523.66667,0,0,299783,0,0,0,0,0,0,0,0,206966.3333,16091.66667,1274615.667,95464.66667,47169,9326.666667,0,0,0,0,306631.3333,0,0,0,17651.33333,71690.33333,91903.33333,0,8133,11905.33333,0,0,6719.666667,12692,1333,30777,21112
Media-3-L-48h,0,27982.33333,0,44613.33333,0,137699,169263.6667,20700,0,0,0,0,0,0,23785.66667,0,0,144040.6667,0,134940.3333,0,0,9662,0,0,3699,0,0,0,0,526415.6667,511122,10069.33333,297125.6667,14377,0,930.3333333,0,0,38325,1317321,0,104172.6667,0,8993.666667,28273,0,0,76942.33333,0,0,0,0,0,0,0,0,195148,13849,1328926,50713,50176.33333,0,0,0,0,0,201290.3333,41524,0,0,3301,73188,90553.33333,0,8262.666667,9879.333333,0,0,3167.333333,11879,1697,60211.33333,11452
WK004-2-L-08h,21305.33333,109439.3333,0,37751.33333,1193874.333,0,0,15748.33333,0,1845960,251583,0,0,68990.66667,111005.6667,17241.33333,0,0,136734.3333,168961.6667,230023.3333,0,9181801.667,0,0,5142,0,0,0,1650140.667,245749.3333,0,7016,0,19167.66667,0,0,0,0,18357,20287712.67,0,4740400,0,10392,32857.66667,32704.33333,0,0,0,63110.66667,0,5424,276239,0,0,0,21448,20353.33333,634806,0,0,112613.3333,471352.3333,0,0,46847.33333,95448,0,55180.33333,0,23204.66667,0,127537.6667,2567.666667,0,16956,52793,7894.333333,140473,9546.666667,0,26150.66667,177723.3333
WK004-2-L-48h,29595,0,0,43628.33333,210252.3333,0,0,0,0,3612476.333,805927.3333,0,0,0,0,280538,0,0,1606470.667,49100.66667,0,3784.666667,15890872,0,128158,5715.666667,0,0,0,10422393.33,1525203.667,0,17799,0,37010.33333,0,0,44041.66667,0,0,0,0,12967198,0,11338.33333,0,542115.6667,0,0,0,873476,0,70952,4761263.667,38063.33333,0,17043.33333,0,12724.66667,131957,0,0,473130,4336470,25588.66667,0,1958765,0,0,106092.3333,0,13124.33333,0,196223.3333,108587.3333,0,26277,2215415.667,0,24414,0,0,63292.33333,9770425
WK005-2-L-08h,49319,0,0,22789,2486742.667,0,51692.66667,23919.33333,0,4099790.667,560540.3333,0,0,62620.66667,145178.3333,18364.33333,0,0,724020,564413.3333,229801.6667,0,12667996,0,0,6504.666667,0,0,289754.3333,1178634.667,195026,0,7900.333333,27845,17065.33333,0,34002.33333,0,0,1682.333333,12518805,0,1713380.333,0,12036.33333,39552.33333,63492,0,0,0,440701,0,9066.333333,481318.6667,45163,0,0,32692.66667,23362.33333,70566.66667,0,0,175755.3333,488362,0,0,39471,153715.3333,0,17786.33333,0,36583,0,158228.6667,10599,0,14485.33333,171295.6667,0,184954.6667,0,0,23859.33333,36484
WK005-2-L-48h,18536.33333,0,0,15887.33333,138458.6667,0,22123.66667,0,0,5640984.333,586514.6667,0,0,0,0,122421.3333,0,0,3733175.667,0,0,0,14717742.33,0,126685,4990,0,0,0,5965235.333,716220.3333,0,3431.333333,0,32453.33333,0,20045.66667,73691.33333,121800,0,0,0,3286371.333,0,10253.66667,73363,1498095,33586,0,0,4177679.667,0,141528,11804783,56177,0,34345.66667,0,0,0,0,0,668170.3333,866506.3333,26762,0,394293.6667,0,0,44138.66667,0,26021.66667,0,125326,104241.3333,0,15928.66667,2024597,0,26514.66667,0,0,32482.33333,232965
WK007-2-L-08h,0,10384.66667,0,46342.66667,1925256.333,0,51392.33333,19000,0,500834.3333,81060.33333,0,0,60647.66667,66707.33333,0,49244.66667,0,26762.66667,312181.3333,34287.33333,0,2208221.667,0,0,4094.333333,19595,9766.666667,0,258125,85408.33333,166886.6667,9576,73729.66667,13675.66667,0,0,0,0,7422.666667,8276256.333,0,606715.3333,0,9142.333333,2974.666667,0,0,0,0,8856.333333,13276.33333,0,0,0,0,0,44904,23423,248919.3333,29976.33333,0,9056,6453.333333,0,0,35958.66667,252520,0,0,0,20576,0,130130,0,0,18121,0,2556.666667,88416.33333,11949.66667,632.6666667,16896.66667,0
WK007-2-L-48h,0,0,0,30189.66667,2393322,0,0,126298.3333,0,4299136,674962,0,0,0,0,272275,388041,0,636785,54347.66667,0,39282,13479692.33,46113,90484,5298.666667,0,0,0,5320237.667,617471.6667,0,15697,0,17538.66667,0,0,9539.333333,0,0,0,23402.66667,1725717.333,0,12118.66667,0,143887.6667,0,0,0,194384,0,31255.66667,943360,33049.33333,0,0,5301,24900,0,0,0,177207,304431,0,0,276935.3333,0,0,0,0,0,0,164864.3333,80758,0,23360.66667,583213.3333,0,34576.33333,4004,0,72801.66667,4155451
WK037-2-L-08h,0,12956.66667,0,12982.66667,138660,0,110812.6667,16170.66667,0,257335.3333,0,0,4995,31139.66667,91806.66667,18693.66667,0,0,38464.33333,1412050.667,0,0,1706672.667,0,0,5482,0,10399.66667,0,774140.3333,102618.3333,110454.3333,6654.333333,219882,28444.33333,0,0,0,0,9297.333333,9043884.333,24973.66667,851121,0,7845.333333,13879.66667,94156.66667,27529.33333,0,0,43587.66667,0,20899.33333,71997.33333,0,3199.333333,0,27573.33333,18290,261334,19105.33333,0,39247.33333,0,0,0,39540.33333,122687.6667,0,121403.6667,44951.66667,17511.33333,0,95656.66667,4078.666667,0,12962.33333,35630,0,10806,5645.666667,0,24696,3574.333333
