specie,sum_specie,kefir_type
Acetobacter pasteurianus,24,milk
Bacillus mycoides,21,milk
Brettanomyces bruxellensis,27,milk
Enterococcus faecalis,26,milk
Escherichia coli,26,milk
Klebsiella pneumoniae,28,milk
Lacticaseibacillus paracasei,45,milk
Lactiplantibacillus plantarum,146,milk
Lactobacillus amylovorus,85,milk
Lactobacillus crispatus,34,milk
Lactobacillus helveticus,183,milk
Lactobacillus kefiranofaciens,185,milk
Lactococcus cremoris,81,milk
Lactococcus lactis,107,milk
Lactococcus raffinolactis,35,milk
Lentilactobacillus kefiri,183,milk
Leuconostoc mesenteroides,56,milk
Pseudomonas fragi,27,milk
Pseudomonas lundensis,23,milk
Pseudomonas putida,26,milk
Streptococcus thermophilus,23,milk
