sample_id	Carbon disulfide	2-Methyl-1-propanol	3-Methyl-butanal	2-Methyl-butanal	3-Methyl-Butanol	2-Methyl-1-butanol	Dimethyl sulfone	Phenylethyl alcohol	Ethanol	2,3-Butanedione	2-Butanone	2-Butanol	Ethyl acetate	Acetic acid	2,3-Pentanedione	2,3-Hexanedione	Ethyl butanoate	3-Methyl-1-butanol, acetate	Ethyl hexanoate	Ethyl octanoate	Ethyl decanoate	Acetone	2-Pentanone	Pentanal	1-Pentanol	Hexanal	2-Heptanone	Heptanal	Hexanoic acid	Octanal	2-Ethyl-1-hexanol	2-Nonanone	Nonanal	Octanoic acid	Nonanoic acid	2-Undecanone	n-Decanoic acid
1_S1	0	0	0	0	0	0	243163	0	0	0	23468855	0	0	2877344	0	0	0	0	0	0	0	22427519	0	4968550.5	5284918.5	1625922	1036774.5	0	1288109	0	357380	500657.5	786035.5	8857901	5244345.5	302236	5761714
6_S5	0	0	0	0	0	0	224195.5	0	107492.5	0	26445849	180864	0	1305829	0	0	0	0	0	0	0	24462035	0	4154356.5	4088200.5	1035007.5	760177	591870	344606	0	242685	434973.5	621566.5	6032399.5	2476814.5	266369.5	4891351.5
17_S12	0	0	0	0	0	0	217796	0	0	0	23129578	0	0	473397	0	0	0	0	0	0	0	14951589.5	0	4226280	8429076.5	1415334	665716	791736.5	1012979.5	340916	0	348876	759124	6386977	2950480	228590	10024278
8_S6	0	733662	0	44788.5	16813892	6692228.5	278745	374648.5	4183088	638789	13888008	1496442	1921476	23245848	0	0	0	0	0	0	0	10241556.5	194972	0	0	224539	2315126.5	710432	4167986.5	241512	264985.5	879901.5	1680312	80990069	7961152	483401	56702739
3_S2	0	0	0	13287	3134092	1682288	247706.5	0	0	35549089	6633733.5	0	136758.5	69049837	412554.5	369446	1033140.5	0	97542.5	0	0	3801870.5	126390.5	0	0	0	11403968.5	0	33473257	0	130130.5	991374.5	435933	180851253.5	9843426	566164.5	76839812
11_S9	0	0	0	0	7290472.5	1580534	177477	0	0	53966385	601383.5	0	110138	37081439.5	979158	0	1165628.5	0	336655	0	0	3770861.5	0	0	0	0	7592000.5	0	31728950.5	0	294712	978170.5	301193.5	151303151	7832541	509139.5	86060704
21_S13	543427.5	491167	0	0	37692127	7759874.5	365038.5	601360	6562701	1323482.5	1024754.5	777881	4848119.5	26941987.5	168901.5	0	1709543	245601.5	889216.5	251142	0	5524697.5	0	0	4351437	0	3530872.5	0	43982805	0	285753.5	975714.5	276633	162321854	23721086	153401	49026369
9_S7	0	770275	0	0	75354971.5	0	130873	1490505.5	3423135.5	483095	1607969	301281	1416334.5	13637937.5	497128	0	15947243	164872	11037470.5	44781407.5	19000495.5	3706627	0	0	0	882995	22991339	0	127813996.5	473579	178424.5	13142735.5	1819184	642178987.5	15744803	2385663.5	761905791.5
4_S3	0	0	0	0	23924971.5	7182185.5	220001.5	88266.5	0	4123338	0	815695.5	7761945.5	10600762.5	0	0	23415039	0	10709325.5	58862155.5	13330678	0	0	0	0	0	9454921.5	0	89649748.5	0	419498.5	5042633.5	640885.5	466524519	21447929.5	2473973	310140291.5
13_S10	288130	0	1879824.5	0	15304882	0	305130.5	195672	0	0	0	0	5854825.5	30901044.5	44227.5	0	98747817	0	68937795.5	553147147.5	138339635	0	0	0	0	0	16614060	0	140290371	152297	0	10182167.5	1133581	620171064.5	39133994.5	7798534.5	1016878316
23_S14	552306	0	0	0	2801189.5	1408977	187449	306439	0	11248827.5	4130379	0	3638154	19774352	989898.5	339102.5	53372448	26706.5	34759228	115112450	70907832	3522996.5	0	0	0	0	32606798.5	0	200103750	0	434810	16302733.5	832450.5	766723970	43821986.5	7656006	1053072185.5
10_S8	0	0	0	0	1263828.5	0	175092	0	0	15610893	22171898	461853.5	0	962874	980055	383955	0	0	0	0	0	9936344	97007.5	0	0	0	5634434.5	0	19107168.5	0	200957.5	1229289.5	194722	51332269.5	4218258.5	431349.5	38490892.5
5_S4	0	0	0	0	6574214	3796267.5	683064.5	0	0	44956784	0	0	198067	14819949	904725.5	639244.5	2044483	0	331721.5	338334.5	0	4194501.5	132507	0	0	0	10931697.5	0	51758326	0	569675	1483792	604713.5	205705361	17829107.5	567169	112734597
16_S11	547785.5	0	0	0	4528907.5	2019912.5	283002.5	16351.5	0	55210036.5	0	0	0	13827770	773578	233941.5	1084611	0	213884.5	0	0	0	0	0	0	0	13689160.5	0	42513551	0	399303.5	1793419.5	102934	184146969.5	15042434.5	413485	82710528.5
24_S15	0	0	0	0	14767088	2744833.5	301983	0	0	62743315.5	0	0	133151.5	56404841.5	1182688	278975	1819061	0	429254.5	0	0	0	0	0	0	0	14427125	0	53467832	0	218656.5	1718321.5	460025	201551217.5	10098014	217030	103828129
