Stage	clusters	classification	category.y	Freq
wk01	1	Acetobacter fabarum	Milk kefir	11
wk05	1	Acetobacter fabarum	Milk kefir	21
wk09	1	Acetobacter fabarum	Milk kefir	21
wk13	1	Acetobacter fabarum	Milk kefir	9
wk17	1	Acetobacter fabarum	Milk kefir	16
wk21	1	Acetobacter fabarum	Milk kefir	15
T0	15	Acetobacter orientalis	Milk kefir	1
wk01	15	Acetobacter orientalis	Milk kefir	6
wk05	15	Acetobacter orientalis	Milk kefir	10
wk09	15	Acetobacter orientalis	Milk kefir	11
wk13	15	Acetobacter orientalis	Milk kefir	1
wk17	15	Acetobacter orientalis	Milk kefir	5
wk21	15	Acetobacter orientalis	Milk kefir	3
T0	1	Lactobacillus helveticus	Milk kefir	9
wk01	1	Lactobacillus helveticus	Milk kefir	17
wk05	1	Lactobacillus helveticus	Milk kefir	26
wk09	1	Lactobacillus helveticus	Milk kefir	27
wk13	1	Lactobacillus helveticus	Milk kefir	18
wk17	1	Lactobacillus helveticus	Milk kefir	25
wk21	1	Lactobacillus helveticus	Milk kefir	19
T0	1	Lactobacillus kefiranofaciens	Milk kefir	14
wk01	1	Lactobacillus kefiranofaciens	Milk kefir	25
wk05	1	Lactobacillus kefiranofaciens	Milk kefir	31
wk09	1	Lactobacillus kefiranofaciens	Milk kefir	30
wk13	1	Lactobacillus kefiranofaciens	Milk kefir	23
wk17	1	Lactobacillus kefiranofaciens	Milk kefir	27
wk21	1	Lactobacillus kefiranofaciens	Milk kefir	24
wk05	1	Lactococcus cremoris	Milk kefir	2
wk09	1	Lactococcus cremoris	Milk kefir	2
wk01	3	Lactococcus cremoris	Milk kefir	1
wk05	3	Lactococcus cremoris	Milk kefir	1
wk09	3	Lactococcus cremoris	Milk kefir	1
wk13	3	Lactococcus cremoris	Milk kefir	1
wk17	3	Lactococcus cremoris	Milk kefir	1
wk01	4	Lactococcus cremoris	Milk kefir	1
wk05	4	Lactococcus cremoris	Milk kefir	2
wk09	4	Lactococcus cremoris	Milk kefir	2
wk13	4	Lactococcus cremoris	Milk kefir	1
wk17	4	Lactococcus cremoris	Milk kefir	2
wk21	4	Lactococcus cremoris	Milk kefir	1
wk01	5	Lactococcus cremoris	Milk kefir	3
wk05	5	Lactococcus cremoris	Milk kefir	7
wk09	5	Lactococcus cremoris	Milk kefir	5
wk13	5	Lactococcus cremoris	Milk kefir	3
wk17	5	Lactococcus cremoris	Milk kefir	2
wk21	5	Lactococcus cremoris	Milk kefir	2
wk05	6	Lactococcus cremoris	Milk kefir	1
wk09	6	Lactococcus cremoris	Milk kefir	2
wk13	6	Lactococcus cremoris	Milk kefir	2
wk17	6	Lactococcus cremoris	Milk kefir	3
wk21	6	Lactococcus cremoris	Milk kefir	1
T0	10	Lactococcus lactis	Milk kefir	2
wk01	10	Lactococcus lactis	Milk kefir	7
wk05	10	Lactococcus lactis	Milk kefir	7
wk09	10	Lactococcus lactis	Milk kefir	7
wk13	10	Lactococcus lactis	Milk kefir	6
wk17	10	Lactococcus lactis	Milk kefir	10
wk21	10	Lactococcus lactis	Milk kefir	7
T0	11	Lactococcus lactis	Milk kefir	1
wk01	11	Lactococcus lactis	Milk kefir	2
wk05	11	Lactococcus lactis	Milk kefir	2
wk09	11	Lactococcus lactis	Milk kefir	2
wk13	11	Lactococcus lactis	Milk kefir	1
wk17	11	Lactococcus lactis	Milk kefir	1
wk21	11	Lactococcus lactis	Milk kefir	1
T0	12	Lactococcus lactis	Milk kefir	1
wk01	12	Lactococcus lactis	Milk kefir	1
wk05	12	Lactococcus lactis	Milk kefir	3
wk09	12	Lactococcus lactis	Milk kefir	2
wk13	12	Lactococcus lactis	Milk kefir	1
wk17	12	Lactococcus lactis	Milk kefir	1
wk21	12	Lactococcus lactis	Milk kefir	3
wk01	7	Lactococcus lactis	Milk kefir	1
wk05	7	Lactococcus lactis	Milk kefir	1
T0	9	Lactococcus lactis	Milk kefir	1
wk01	9	Lactococcus lactis	Milk kefir	1
T0	1	Lactococcus raffinolactis	Milk kefir	4
wk01	1	Lactococcus raffinolactis	Milk kefir	3
wk05	1	Lactococcus raffinolactis	Milk kefir	7
wk09	1	Lactococcus raffinolactis	Milk kefir	5
wk13	1	Lactococcus raffinolactis	Milk kefir	3
wk17	1	Lactococcus raffinolactis	Milk kefir	7
wk21	1	Lactococcus raffinolactis	Milk kefir	2
wk05	2	Lactococcus raffinolactis	Milk kefir	1
wk09	2	Lactococcus raffinolactis	Milk kefir	1
T0	1	Lentilactobacillus kefiri	Milk kefir	13
wk01	1	Lentilactobacillus kefiri	Milk kefir	26
wk05	1	Lentilactobacillus kefiri	Milk kefir	35
wk09	1	Lentilactobacillus kefiri	Milk kefir	32
wk13	1	Lentilactobacillus kefiri	Milk kefir	22
wk17	1	Lentilactobacillus kefiri	Milk kefir	27
