kefir type.x	classification	n_detections	median_snv	median_nucl_div
MG	Klebsiella grimontii	28	1799.5	0.00142368781395875
MG	Lactobacillus helveticus	240	3218	0.0019497494521973002
MG	Lactobacillus kefiranofaciens	331	4337	0.0022866022512663
ML	Acetobacter orientalis	18	195.5	0.0013711126627274002
ML	Acinetobacter johnsonii	7	6932	0.0031310400966487
ML	Lactococcus cremoris	161	1222	0.0015739531144056
ML	Lactococcus lactis	258	1291	0.001340152124582
ML	Lactococcus piscium	10	636	5.2657731319705e-4
ML	Pseudomonas helleri	16	1956.5	0.0018618144361837998
ML	Streptococcus thermophilus	36	1029	0.0018977258669258998
ML	Thermus parvatiensis	17	349	0.0019399622964701
WG	Acetobacter persici	44	201.5	5.388119615557e-4
WG	Acinetobacter ursingii	11	1697	0.0015465550837282
WG	Lactococcus lactis	41	1263	0.0013785412204786
WG	Liquorilactobacillus ghanensis	80	3054	0.001512783934546
WL	Acetobacter indonesiensis	19	580	0.0017874870184527
WL	Acetobacter malorum	38	261	9.274795045273e-4
WL	Acetobacter orientalis	3	1235	0.001367329124366
WL	Acetobacter persici	22	113	7.4510475056755e-4
WL	Acinetobacter johnsonii	11	15015	0.0022263351504628
WL	Agrobacterium pusense	14	5199	0.0012223044729801
WL	Bifidobacterium aquikefiri	139	201	8.227442498993e-4
WL	Bifidobacterium psychraerophilum	41	268	7.96505573131e-4
WL	Gluconobacter albidus	43	949	8.113502578053e-4
WL	Gluconobacter cerinus	111	545	7.07696464444e-4
WL	Komagataeibacter hansenii	73	144	6.774217411831e-4
WL	Lacticaseibacillus paracasei	196	2068.5	0.0015895010880018
WL	Liquorilactobacillus ghanensis	67	219	0.0015403893301621
WL	Oenococcus oeni	53	215	9.329976916161e-4
WL	Rahnella aquatilis	12	4862	0.00155346249092555
merged	Acetobacter indonesiensis	42	173	0.0015522855349338499
merged	Acetobacter malorum	137	636	6.397777950925e-4
merged	Acetobacter orientalis	169	149	8.142152276874e-4
merged	Acetobacter persici	50	59	0.00113880399287975
merged	Acinetobacter johnsonii	14	6018.5	0.00349726477466765
merged	Acinetobacter ursingii	10	1523	0.0011115081118805502
merged	Bifidobacterium aquikefiri	101	91	8.605648484129e-4
merged	Bifidobacterium psychraerophilum	26	329	8.8686470279445e-4
merged	Gluconobacter albidus	74	215.5	0.00149910359346875
merged	Gluconobacter cerinus	59	80	0.0010585111650282
merged	Komagataeibacter hansenii	10	42	0.00172925832418135
merged	Lacticaseibacillus paracasei	631	1465	0.0014091005603779
merged	Lactococcus cremoris	183	989	0.0015040944322659
merged	Lactococcus lactis	81	2470	0.0017983345796531
merged	Lactococcus piscium	9	3887	0.0018252776139525
merged	Liquorilactobacillus ghanensis	146	714.5	0.00108125661694515
merged	Pseudomonas helleri	62	228	0.0015246159333397
merged	Thermus parvatiensis	15	258	0.0023109126670444
