Stage	clusters	species	category.y	Freq
wk01	1	Acetobacter fabarum	Milk kefir	8
wk05	1	Acetobacter fabarum	Milk kefir	20
wk09	1	Acetobacter fabarum	Milk kefir	20
wk13	1	Acetobacter fabarum	Milk kefir	6
wk17	1	Acetobacter fabarum	Milk kefir	12
wk21	1	Acetobacter fabarum	Milk kefir	18
wk01	15	Acetobacter orientalis	Milk kefir	4
wk05	15	Acetobacter orientalis	Milk kefir	4
wk09	15	Acetobacter orientalis	Milk kefir	8
wk17	15	Acetobacter orientalis	Milk kefir	4
wk21	15	Acetobacter orientalis	Milk kefir	6
wk17	1	Citrobacter freundii	Milk kefir	2
wk21	1	Citrobacter freundii	Milk kefir	2
wk05	2	Citrobacter freundii	Milk kefir	2
wk09	2	Citrobacter freundii	Milk kefir	2
wk17	2	Citrobacter freundii	Milk kefir	2
wk17	1	Clostridium beijerinckii	Milk kefir	2
wk21	1	Clostridium beijerinckii	Milk kefir	2
wk05	2	Clostridium beijerinckii	Milk kefir	4
wk09	2	Clostridium beijerinckii	Milk kefir	2
wk01	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	Milk kefir	2
wk05	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	Milk kefir	4
wk09	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	Milk kefir	2
wk13	1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	Milk kefir	2
wk05	0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	Milk kefir	2
wk01	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	Milk kefir	2
wk05	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	Milk kefir	4
wk09	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	Milk kefir	4
wk13	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	Milk kefir	2
wk05	1	Enterococcus faecalis	Milk kefir	4
wk09	1	Enterococcus faecalis	Milk kefir	4
wk13	1	Enterococcus faecalis	Milk kefir	2
wk17	1	Enterococcus faecalis	Milk kefir	2
wk05	1	Hafnia paralvei	Milk kefir	2
wk09	1	Hafnia paralvei	Milk kefir	2
wk13	1	Hafnia paralvei	Milk kefir	2
wk21	1	Hafnia paralvei	Milk kefir	4
wk01	1	Klebsiella_A grimontii	Milk kefir	4
wk05	1	Klebsiella_A grimontii	Milk kefir	6
wk09	1	Klebsiella_A grimontii	Milk kefir	2
wk21	1	Klebsiella_A grimontii	Milk kefir	2
wk01	1	Lactobacillus helveticus	Milk kefir	16
wk05	1	Lactobacillus helveticus	Milk kefir	12
wk09	1	Lactobacillus helveticus	Milk kefir	18
wk13	1	Lactobacillus helveticus	Milk kefir	16
wk17	1	Lactobacillus helveticus	Milk kefir	12
wk21	1	Lactobacillus helveticus	Milk kefir	12
wk01	1	Lactobacillus kefiranofaciens	Milk kefir	28
wk05	1	Lactobacillus kefiranofaciens	Milk kefir	28
wk09	1	Lactobacillus kefiranofaciens	Milk kefir	34
wk13	1	Lactobacillus kefiranofaciens	Milk kefir	24
wk17	1	Lactobacillus kefiranofaciens	Milk kefir	22
wk21	1	Lactobacillus kefiranofaciens	Milk kefir	18
wk01	10	Lactococcus lactis	Milk kefir	10
wk05	10	Lactococcus lactis	Milk kefir	6
wk09	10	Lactococcus lactis	Milk kefir	8
wk13	10	Lactococcus lactis	Milk kefir	10
wk17	10	Lactococcus lactis	Milk kefir	10
wk21	10	Lactococcus lactis	Milk kefir	6
wk01	11	Lactococcus lactis	Milk kefir	2
wk05	11	Lactococcus lactis	Milk kefir	2
wk09	11	Lactococcus lactis	Milk kefir	2
wk01	12	Lactococcus lactis	Milk kefir	2
wk05	12	Lactococcus lactis	Milk kefir	2
wk13	12	Lactococcus lactis	Milk kefir	2
wk17	12	Lactococcus lactis	Milk kefir	2
wk21	12	Lactococcus lactis	Milk kefir	4
wk05	1	Lactococcus lactis_E	Milk kefir	2
wk09	1	Lactococcus lactis_E	Milk kefir	2
wk01	3	Lactococcus lactis_E	Milk kefir	2
wk01	5	Lactococcus lactis_E	Milk kefir	4
wk05	5	Lactococcus lactis_E	Milk kefir	14
wk09	5	Lactococcus lactis_E	Milk kefir	8
wk13	5	Lactococcus lactis_E	Milk kefir	4
wk21	5	Lactococcus lactis_E	Milk kefir	6
wk09	6	Lactococcus lactis_E	Milk kefir	2
wk13	6	Lactococcus lactis_E	Milk kefir	2
wk17	6	Lactococcus lactis_E	Milk kefir	2
wk01	1	Lactococcus piscium_C	Milk kefir	2
wk05	1	Lactococcus piscium_C	Milk kefir	2
wk17	2	Lactococcus piscium_C	Milk kefir	2
wk01	3	Lactococcus piscium_C	Milk kefir	2
wk05	3	Lactococcus piscium_C	Milk kefir	4
wk09	3	Lactococcus piscium_C	Milk kefir	4
wk01	1	Lactococcus raffinolactis	Milk kefir	6
wk05	1	Lactococcus raffinolactis	Milk kefir	10
wk09	1	Lactococcus raffinolactis	Milk kefir	6
wk13	1	Lactococcus raffinolactis	Milk kefir	4
wk17	1	Lactococcus raffinolactis	Milk kefir	6
wk01	1	Lentilactobacillus kefiri	Milk kefir	38
wk05	1	Lentilactobacillus kefiri	Milk kefir	42
wk09	1	Lentilactobacillus kefiri	Milk kefir	38
wk13	1	Lentilactobacillus kefiri	Milk kefir	22
wk17	1	Lentilactobacillus kefiri	Milk kefir	30
wk21	1	Lentilactobacillus kefiri	Milk kefir	26
wk01	2	Leuconostoc mesenteroides	Milk kefir	6
wk05	2	Leuconostoc mesenteroides	Milk kefir	16
wk09	2	Leuconostoc mesenteroides	Milk kefir	16
wk13	2	Leuconostoc mesenteroides	Milk kefir	12
wk17	2	Leuconostoc mesenteroides	Milk kefir	10
wk21	2	Leuconostoc mesenteroides	Milk kefir	8
wk01	2	Pseudomonas_E fragi_B	Milk kefir	6
wk05	2	Pseudomonas_E fragi_B	Milk kefir	2
wk09	2	Pseudomonas_E fragi_B	Milk kefir	2
wk21	2	Pseudomonas_E fragi_B	Milk kefir	2
wk01	1	Pseudomonas_E putida	Milk kefir	2
wk09	1	Pseudomonas_E putida	Milk kefir	2
wk13	1	Pseudomonas_E putida	Milk kefir	2
wk21	2	Pseudomonas_E putida	Milk kefir	2
wk05	3	Pseudomonas_E putida	Milk kefir	2
wk01	1	Streptococcus parauberis	Milk kefir	6
wk05	1	Streptococcus parauberis	Milk kefir	6
wk09	1	Thermus parvatiensis	Milk kefir	4
wk13	1	Thermus parvatiensis	Milk kefir	6
wk01	2	Thermus parvatiensis	Milk kefir	2
wk05	3	Thermus parvatiensis	Milk kefir	2
wk09	3	Acetobacter malorum	Water kefir	4
wk01	5	Acetobacter malorum	Water kefir	48
wk05	5	Acetobacter malorum	Water kefir	28
wk09	5	Acetobacter malorum	Water kefir	12
wk13	5	Acetobacter malorum	Water kefir	2
wk17	5	Acetobacter malorum	Water kefir	4
wk21	5	Acetobacter malorum	Water kefir	2
wk17	1	Acetobacter persici	Water kefir	2
wk09	5	Acetobacter persici	Water kefir	2
wk17	6	Acetobacter persici	Water kefir	2
wk21	6	Acetobacter persici	Water kefir	2
wk05	8	Acetobacter persici	Water kefir	4
wk09	8	Acetobacter persici	Water kefir	6
wk13	8	Acetobacter persici	Water kefir	2
wk17	8	Acetobacter persici	Water kefir	4
wk01	1	Acetobacter syzygii	Water kefir	26
wk05	1	Acetobacter syzygii	Water kefir	32
wk09	1	Acetobacter syzygii	Water kefir	26
wk13	1	Acetobacter syzygii	Water kefir	12
wk17	1	Acetobacter syzygii	Water kefir	28
wk21	1	Acetobacter syzygii	Water kefir	2
wk01	1	Acinetobacter johnsonii	Water kefir	2
wk01	2	Acinetobacter johnsonii	Water kefir	2
wk01	3	Acinetobacter johnsonii	Water kefir	2
wk09	5	Acinetobacter johnsonii	Water kefir	2
wk01	6	Acinetobacter johnsonii	Water kefir	2
wk09	1	Acinetobacter ursingii	Water kefir	2
wk05	2	Acinetobacter ursingii	Water kefir	2
wk09	2	Acinetobacter ursingii	Water kefir	2
wk13	2	Acinetobacter ursingii	Water kefir	2
wk17	2	Acinetobacter ursingii	Water kefir	2
wk01	3	Bifidobacterium aquikefiri	Water kefir	36
wk05	3	Bifidobacterium aquikefiri	Water kefir	12
