species	c1	c2	n_co_detected
Acetobacter fabarum	41_1	41_4	6
Acetobacter indonesiensis	34_1	34_2	18
Acetobacter malorum	36_3	36_5	21
Acetobacter okinawensis	40_1	40_2	5
Acetobacter papayae	44_3	44_4	7
Acetobacter persici	35_6	35_8	10
Acetobacter syzygii	39_2	39_3	5
Acinetobacter ursingii	213_1	213_2	9
Agrobacterium pusense	131_2	131_3	6
Bifidobacterium aquikefiri	20_2	20_3	38
Clostridium beijerinckii	153_1	153_2	6
Gluconobacter albidus	45_1	45_5	19
Gluconobacter albidus	45_1	45_2	10
Gluconobacter albidus	45_2	45_5	10
Gluconobacter cerinus	49_5	49_7	20
Gluconobacter cerinus	49_10	49_7	14
Gluconobacter cerinus	49_10	49_5	12
Gluconobacter cerinus	49_10	49_8	10
Gluconobacter cerinus	49_7	49_8	10
Gluconobacter cerinus	49_10	49_12	9
Gluconobacter cerinus	49_10	49_9	9
Gluconobacter cerinus	49_12	49_7	9
Gluconobacter cerinus	49_12	49_9	9
Gluconobacter cerinus	49_4	49_7	9
Gluconobacter cerinus	49_7	49_9	9
Gluconobacter cerinus	49_12	49_5	8
Gluconobacter cerinus	49_5	49_8	8
Gluconobacter cerinus	49_5	49_9	8
Gluconobacter cerinus	49_12	49_8	7
Gluconobacter cerinus	49_8	49_9	7
Gluconobacter cerinus	49_10	49_11	5
Gluconobacter cerinus	49_11	49_12	5
Gluconobacter cerinus	49_11	49_5	5
Gluconobacter cerinus	49_11	49_7	5
Gluconobacter cerinus	49_11	49_8	5
Gluconobacter cerinus	49_11	49_9	5
Gluconobacter japonicus	48_3	48_4	7
Gluconobacter oxydans	46_3	46_4	41
Gluconobacter oxydans	46_4	46_6	9
Gluconobacter oxydans	46_3	46_6	6
Gluconobacter oxydans	46_5	46_6	6
Gluconobacter oxydans	46_11	46_12	5
Lacticaseibacillus paracasei	190_1	190_4	117
Lacticaseibacillus paracasei	190_1	190_2	109
Lacticaseibacillus paracasei	190_3	190_4	97
Lacticaseibacillus paracasei	190_2	190_4	91
Lacticaseibacillus paracasei	190_1	190_3	61
Lacticaseibacillus paracasei	190_2	190_3	61
Lacticaseibacillus paracasei	190_1	190_5	41
Lacticaseibacillus paracasei	190_2	190_5	41
Lacticaseibacillus paracasei	190_3	190_5	40
Lacticaseibacillus paracasei	190_4	190_5	37
Lactococcus cremoris	182_4	182_5	135
Lactococcus cremoris	182_3	182_4	17
Lactococcus cremoris	182_3	182_5	17
Lactococcus cremoris	182_5	182_6	17
Lactococcus cremoris	182_4	182_6	12
Lactococcus lactis	182_10	182_7	54
Lactococcus lactis	182_10	182_11	32
Lactococcus lactis	182_11	182_7	28
Lactococcus lactis	182_10	182_9	11
Lactococcus lactis	182_10	182_12	8
Lactococcus lactis	182_11	182_12	7
Lentilactobacillus hilgardii	194_1	194_2	31
Lentilactobacillus hilgardii	194_1	194_3	5
Liquorilactobacillus ghanensis	195_4	195_5	54
Liquorilactobacillus ghanensis	195_1	195_5	31
Liquorilactobacillus ghanensis	195_1	195_4	23
Liquorilactobacillus ghanensis	195_2	195_4	17
Liquorilactobacillus ghanensis	195_2	195_5	17
Liquorilactobacillus ghanensis	195_1	195_2	12
Liquorilactobacillus nagelii	196_1	196_2	44
Propionibacterium freudenreichii	205_1	205_2	6
Pseudomonas fragi	85_1	85_2	8
Pseudomonas putida	84_1	84_3	5
Schleiferilactobacillus harbinensis	203_1	203_2	5
Serratia liquefaciens	58_1	58_2	6
Thermus parvatiensis	13_1	13_2	7
Thermus parvatiensis	13_1	13_3	7
Thermus parvatiensis	13_2	13_3	6
Zymomonas mobilis	18_1	19_1	5
Zymomonas mobilis	19_3	19_4	5
