genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
TG_ID056_WL_T1_S23_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,1_1,0.010000000000000009,average,ANImf,1
WK_TG_ID056_merged_T1_metawrap_bin_reassembly_original_bins_bin.10.fa,1_1,0.010000000000000009,average,ANImf,1
MK032_GRK-B_metawrap_bin_reassembly_original_bins_bin.17.fa,2_0,0.010000000000000009,average,ANImf,2
MK032_GRK-B_metawrap_bin_reassembly_original_bins_bin.4.fa,3_0,0.010000000000000009,average,ANImf,3
MK032_GRK-B_metawrap_bin_reassembly_original_bins_bin.19.fa,4_0,0.010000000000000009,average,ANImf,4
MK032_GRK-B_metawrap_bin_reassembly_reassembled_bins_bin.20.strict.fa,5_0,0.010000000000000009,average,ANImf,5
TG_ID060_WG_T3_S97_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,6_1,0.010000000000000009,average,ANImf,6
WK_TG_ID060_merged_T3_metawrap_bin_reassembly_original_bins_bin.10.fa,6_1,0.010000000000000009,average,ANImf,6
MK_TG_ID043_merged_T1_metawrap_bin_reassembly_original_bins_bin.2.fa,7_1,0.010000000000000009,average,ANImf,7
TG_ID043_ML_T1_S162_metawrap_bin_reassembly_original_bins_bin.3.fa,7_1,0.010000000000000009,average,ANImf,7
TG_ID086_WL_T2_S310_metawrap_bin_reassembly_reassembled_bins_bin.12.strict.fa,8_1,0.010000000000000009,average,ANImf,8
WK_TG_ID086_merged_T2_metawrap_bin_reassembly_original_bins_bin.13.fa,8_1,0.010000000000000009,average,ANImf,8
MK_TG_SK_T1_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.3.permissive.fa,9_1,0.010000000000000009,average,ANImf,9
MK_TG_SK_T2_merged_0AE_metawrap_bin_reassembly_original_bins_bin.4.fa,9_1,0.010000000000000009,average,ANImf,9
MK_TG_SK_T2_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.2.permissive.fa,9_1,0.010000000000000009,average,ANImf,9
TG_SK_T1_ML_0AN_S61_metawrap_bin_reassembly_reassembled_bins_bin.3.permissive.fa,9_1,0.010000000000000009,average,ANImf,9
TG_SK_T2_ML_0AE_S73_metawrap_bin_reassembly_original_bins_bin.4.fa,9_1,0.010000000000000009,average,ANImf,9
TG_SK_T2_ML_0AN_S2_metawrap_bin_reassembly_original_bins_bin.5.fa,9_1,0.010000000000000009,average,ANImf,9
TG_ID086_WG_T5_S89_metawrap_bin_reassembly_original_bins_bin.22.fa,10_1,0.010000000000000009,average,ANImf,10
TG_ID086_WL_T3_S147_metawrap_bin_reassembly_reassembled_bins_bin.8.permissive.fa,10_1,0.010000000000000009,average,ANImf,10
WK_TG_ID086_merged_T3_metawrap_bin_reassembly_reassembled_bins_bin.24.permissive.fa,10_1,0.010000000000000009,average,ANImf,10
WK_TG_ID086_merged_T5_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,10_1,0.010000000000000009,average,ANImf,10
MK_TG_GO_MLC_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,11_1,0.010000000000000009,average,ANImf,11
TG_GO_MLC_S190_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,11_1,0.010000000000000009,average,ANImf,11
MK_TG_SK_T1_merged_0AE_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,12_1,0.010000000000000009,average,ANImf,12
MK_TG_SK_T1_merged_0AN_metawrap_bin_reassembly_reassembled_bins_bin.6.strict.fa,12_1,0.010000000000000009,average,ANImf,12
MK_TG_SK_T2_merged_0AE_metawrap_bin_reassembly_reassembled_bins_bin.7.permissive.fa,12_1,0.010000000000000009,average,ANImf,12
MK_TG_SK_T2_merged_0AN_metawrap_bin_reassembly_original_bins_bin.3.fa,12_1,0.010000000000000009,average,ANImf,12
TG_SK_T1_ML_0AE_S13_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,12_1,0.010000000000000009,average,ANImf,12
TG_SK_T1_ML_0AN_S61_metawrap_bin_reassembly_reassembled_bins_bin.4.strict.fa,12_1,0.010000000000000009,average,ANImf,12
TG_SK_T2_ML_0AE_S73_metawrap_bin_reassembly_reassembled_bins_bin.7.permissive.fa,12_1,0.010000000000000009,average,ANImf,12
TG_SK_T2_ML_0AN_S2_metawrap_bin_reassembly_original_bins_bin.1.fa,12_1,0.010000000000000009,average,ANImf,12
MK025_Ger-B_metawrap_bin_reassembly_original_bins_bin.6.fa,13_1,0.010000000000000009,average,ANImf,13
MK026_Ger-C_metawrap_bin_reassembly_reassembled_bins_bin.3.strict.fa,13_1,0.010000000000000009,average,ANImf,13
MK_TG_ID009_merged_T4_metawrap_bin_reassembly_original_bins_bin.2.fa,13_1,0.010000000000000009,average,ANImf,13
MK_TG_ID012_merged_T4_metawrap_bin_reassembly_original_bins_bin.1.fa,13_1,0.010000000000000009,average,ANImf,13
MK_TG_ID032_merged_T3_metawrap_bin_reassembly_original_bins_bin.7.fa,13_1,0.010000000000000009,average,ANImf,13
MK_TG_ID050_merged_T3_metawrap_bin_reassembly_reassembled_bins_bin.5.permissive.fa,13_1,0.010000000000000009,average,ANImf,13
MK_TG_ID050_merged_T4_metawrap_bin_reassembly_reassembled_bins_bin.3.permissive.fa,13_1,0.010000000000000009,average,ANImf,13
TG_ID009_ML_T4_S55_metawrap_bin_reassembly_original_bins_bin.2.fa,13_1,0.010000000000000009,average,ANImf,13
TG_ID012_ML_T4_S140_metawrap_bin_reassembly_original_bins_bin.4.fa,13_1,0.010000000000000009,average,ANImf,13
TG_ID032_ML_T3_S152_metawrap_bin_reassembly_original_bins_bin.2.fa,13_1,0.010000000000000009,average,ANImf,13
TG_ID050_ML_T3_S156_metawrap_bin_reassembly_reassembled_bins_bin.6.permissive.fa,13_1,0.010000000000000009,average,ANImf,13
TG_ID050_ML_T4_S82_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,13_1,0.010000000000000009,average,ANImf,13
MK_TG_ID050_merged_T1_metawrap_bin_reassembly_reassembled_bins_bin.2.permissive.fa,13_2,0.010000000000000009,average,ANImf,13
TG_ID050_ML_T1_S132_metawrap_bin_reassembly_reassembled_bins_bin.1.permissive.fa,13_2,0.010000000000000009,average,ANImf,13
MK_TG_ID050_merged_T2_metawrap_bin_reassembly_reassembled_bins_bin.6.permissive.fa,13_3,0.010000000000000009,average,ANImf,13
TG_ID050_ML_T2_S144_metawrap_bin_reassembly_reassembled_bins_bin.9.strict.fa,13_3,0.010000000000000009,average,ANImf,13
TG_ID089_WG_T1_S319_metawrap_bin_reassembly_original_bins_bin.9.fa,14_1,0.010000000000000009,average,ANImf,14
TG_ID103_WL_T1_S68_metawrap_bin_reassembly_reassembled_bins_bin.2.strict.fa,14_1,0.010000000000000009,average,ANImf,14
WK_TG_ID089_merged_T1_metawrap_bin_reassembly_original_bins_bin.10.fa,14_1,0.010000000000000009,average,ANImf,14
WK_TG_ID103_merged_T1_metawrap_bin_reassembly_original_bins_bin.6.fa,14_1,0.010000000000000009,average,ANImf,14
WK_TG_ID060_merged_T3_metawrap_bin_reassembly_reassembled_bins_bin.19.strict.fa,15_0,0.010000000000000009,average,ANImf,15
MK032_GRK-B_metawrap_bin_reassembly_reassembled_bins_bin.6.strict.fa,16_0,0.010000000000000009,average,ANImf,16
WK017_metawrap_bin_reassembly_original_bins_bin.3.fa,17_1,0.010000000000000009,average,ANImf,17
WK018_metawrap_bin_reassembly_original_bins_bin.3.fa,17_1,0.010000000000000009,average,ANImf,17
WK019_metawrap_bin_reassembly_original_bins_bin.1.fa,17_1,0.010000000000000009,average,ANImf,17
